"Date","Type","Cases"
2019-12-31,"Normal",20
2019-12-31,"Severe",7
2020-01-03,"Normal",33
2020-01-03,"Severe",11
2020-01-05,"Normal",52
2020-01-05,"Severe",7
2020-01-11,"Normal",31
2020-01-11,"Severe",7
2020-01-11,"Death",1
2020-01-11,"Released",2
2020-01-12,"Normal",27
2020-01-12,"Severe",7
2020-01-12,"Death",1
2020-01-12,"Released",6
2020-01-13,"Normal",27
2020-01-13,"Severe",6
2020-01-13,"Death",1
2020-01-13,"Released",7
2020-01-14,"Normal",27
2020-01-14,"Severe",6
2020-01-14,"Death",1
2020-01-14,"Released",7
2020-01-15,"Normal",27
2020-01-15,"Severe",6
2020-01-15,"Death",1
2020-01-15,"Released",7
2020-01-16,"Normal",22
2020-01-16,"Severe",5
2020-01-16,"Death",2
2020-01-16,"Released",12
2020-01-17,"Normal",23
2020-01-17,"Severe",5
2020-01-17,"Death",2
2020-01-17,"Released",15
2020-01-18,"Normal",33
2020-01-18,"Severe",8
2020-01-18,"Death",2
2020-01-18,"Released",19
2020-01-19,"Normal",126
2020-01-19,"Severe",35
2020-01-19,"VerySevere",9
2020-01-19,"Death",3
2020-01-19,"Released",25
2020-01-20,"Normal",125
2020-01-20,"Severe",35
2020-01-20,"VerySevere",9
2020-01-20,"Death",4
2020-01-20,"Released",25
2020-01-21,"Normal",164
2020-01-21,"Severe",51
2020-01-21,"VerySevere",12
2020-01-21,"Death",6
2020-01-21,"Released",25
